VID (dec)	Class	Name	Remarks  
35004656	SV	WaitPurgeOffTime_SV	Wait Purge Off time-out time value.
			Range is 0.0~999.9
35004672	SV	DefaultPurgeMode_SV	Default Purge Mode
			0=Nornal
			1=Purge
35004688	SV	LPnCarrierSettingIDREADER_SV	The IDReader use setting of the load port n.
+n			0=Not Use
			1=Use
			(n=1-4)
35004704	SV	LPnCarrierSettingStyle_SV	The IDReader using style setting of the load port n.
+n			0=ID Set
			1=Use Mes
			2=No Mes
			(n=1-4)
35004720	SV	LPnCarrierSettingDefaultID_SV	The default ID when IDReader not using of the load port n.
+n			(n=1-4)
35004736	SV	LPnMapVerificaionDialogStyl_SV	The Map Verification Dialog use setting of the load port n.
+n			0=Use
			1=Not Use
			(n=1-4)
35004928	SV	EntrySystemConfiguration	The entry file of System Configuration.
			
35004944	SV	EntryWHCLLConfiguration	The entry file of WHC/Load Lock Configuration.
			
35004992	SV	EntryLoadportConfiguration	The entry file of Loadport Configuration.
			
35004960	SV	EntrySystemParameter	The entry file of System Parameter
			
35004976	SV	EntryTransPatternParameter	The entry file of Transfer Pattern Parameter
			
35005008	SV	EntryLoadportParameter	The entry file of Loadport Parameter
			
35005056	SV	EntryTMConfiguration	The entry file of Transport Module Configuration.
			
35005072	SV	EntryFERobotParameter	The entry file of FE Robot Parameter
			
35005088	SV	EntryBERobotParameter	The entry file of BE Robot Parameter
			
35005120	SV	EntryGasLineConfiguration	The entry file of Gas Line Configuration
			
35005136	SV	EntryGasLineImgFileParameter	The entry file of Gas Line Image File Parameter
			
35005152	SV	EntryTempLineConfiguration	The entry file of Temperature Line Configuration for the TMC
			
35005168	SV	EntryTempLineImgFileParameter	The entry file of Temperature Line Image File Parameter for the TMC
			
35005184	SV	EntryPMCnPMConfiguration	The entry file of PMCn Process Module Configuration.
+n			(n=1-5)
35005200	SV	EntryPMCnPMParameter	The entry file of PMCn Process Module Parameter.
+n			(n=1-5)
35005216	SV	EntryPMCnComponent	The entry file of PMCn Component.
+n			(n=1-5)
35005232	SV	EntryPMCnGasLnConfiguration	The entry file of PMCn Gas Line Configuration.
+n			(n=1-5)
35005248	SV	EntryPMCnGasLnImageFile	The entry file of PMCn Gas Line Image File.
+n			(n=1-5)
35005408	SV	EntryPMCxTempLnConfiguration	The entry file of Temperature Line Configuration for the PMCn.
+n			(n=1-5) (x=1-5)
35005424	SV	EntryPMCxTempLnImageFile	The entry file of Temperature Line Image File Parameter for the PMCn.
+n			(n=1-5) (x=1-5)
35005344	SV	EntryPMCnCyclePurgeRecipe	The entry file of PMCn Cycle Purge Recipe.
+n			(n=1-5)
35005360	SV	EntryPMCnLeakCheckRecipe	The entry file of PMCn Leak Check Recipe.
+n			(n=1-5)
35005376	SV	EntryPMCnChamberCleanRecipe	The entry file of PMCn Chamber Cleaning Recipe.
+n			(n=1-5)
35005392	SV	EntryPMCnGasLinePurgeRecipe	The entry file of PMCn Gas Line Purge Recipe.
+n			(n=1-5)
35005440	SV	DeviceID	Identifier assigned to the equipment.
			Range is 0000h~7FFFh
35005456	SV	T3Timer	T3Timer(Reply Timeout).
			Range is 1-120
35005472	SV	T5Timer	T5Timer(Connection Separation Timeout).
			Range is 1-240
35005488	SV	T6Timer	T6Timer(Control Transaction Timeout).
			Range is 1-240
35005504	SV	T7Timer	T7Timer(Connection Idle Timeout).
			Range is 1-240
35005520	SV	T8Timer	T8Timer(Network Intercharacter Timeout).
			Range is 1-120
35005536	SV	LinkTestTimer	Link Test Timer. 0 represents that no Link Test has been sent.
			Range is 0-60
35005552	SV	ActivePassive	Connection Mode.
			0=Active
			1=Passive
35005696	SV	RCnMFCpTotalFlowingLimit	MFC (AI) p accumulated gas limit of reactor n. MFC is mass flow controller. AI is analog input.
+16 x p			The data that AI is not MFC is 0.
+n			"xx=50h-AFh, p=00-95"
			(for AI00~95. xx=50h;AI0) 
			(n=1-5)
35007232	SV	RCnDOpTotalLimit	DOp accumulated output cycle of reactor n. DO is digital output.
+16 x p			Range is 0~99999999 cycle.
+n			"xxx=2B0h-33Fh, p=0-143"
			(for DO0-143. xxx=2B0h;DO0) 
			(n=1-5)
35009536	SV	RCnDOpCurrentCount	DOp current output cycle of reactor n. DO is digital output.
+16 x p			Range is 0~99999999 cycle.
+n			"xxx=340h-3CFh, p=0-143"
			(for DO0-143. xxx=340h;DO0) 
			(n=1-5)
35012352	SV	LLnSetPress	SetPress value of load lock n.
+n			(n=1-2)
35012357	SV	WHCSetPress	SetPress value of WHC.
			
35012368	SV	LLnSetFlow	SetFlow value of load lock n.
+n			(n=1-2)
35012373	SV	WHCSetFlow	SetFlow value of WHC.
			
35012384	SV	LLnALIGNSetAngle	SetAngle value of LLnALIGN.
+n			(n=1-2)
35012400	SV	LLnALIGNSetOffset	SetOffset value of LLnALIGN.
+n			(n=1-2)
35012416	SV	LLnALIGNSetSpeed	SetSpeed value of LLnALIGN.
+n			(n=1-2)
35012432	SV	FERbtSetSpeed	SetSpeed value of FE Robot.
			
35012449	SV	BERbtSetSpeedJEL	SetSpeed value of JEL BE Robot.
			
35012592	SV	FerbTeachKHIDLPn	The teaching data for KHID FERBT of load port n.
+16 x n			Format of one item: 20
			(n=1-4)
			N=n-1
35012656	SV	FerbTeachKHIDLLn	The teaching data for KHID FERBT of load lock n.
+16 x n			Format of one item: 20
			(n=1-2)
			N=n+3
35012688	SV	FerbTeachKHIDCSn	The teaching data for KHID FERBT of cooling stage n.
+16 x n			Format of one item: 20
			(n=1-2)
			N=n+5
35012736	SV	FerbTeachKHID metrology	The teaching data for KHID FERBT of metrology.
			Format of one item: 20
35012752	SV	FerbTeachKHIDAlinger	The teaching data for KHID FERBT of aligner.
			Format of one item: 20
35012848	SV	FerbParamKHIDLPn	The parameter data for KHID FERBT of load port n.
+16 x n			Format of one item: 20
			(n=1-4)
			N=n-1
35012912	SV	FerbParamKHIDLLn	The parameter data for KHID FERBT of load lock n.
+16 x n			Format of one item: 20
			(n=1-2)
			N=n+3
35012944	SV	FerbParamKHIDCSn	The parameter data for KHID FERBT of cooling stage n.
+16 x n			Format of one item: 20
			(n=1-2)
			N=n+5
35012992	SV	FerbParamKHID metrology	The parameter data for KHID FERBT of metrology.
			Format of one item: 20
35013008	SV	FerbParamKHIDAlinger	The parameter data for KHID FERBT of aligner.
			Format of one item: 20
35013024	SV	FerbParamKHIDLowOffset	The parameter data for KHID FERBT of lower arm offset.
			Format of one item: 20
35013376	SV	BerbTeachJEL_LLn-n-N	The teachng data for JEL BERBT of load lock.
+16 x M			Format of one item: 20
+ N			M means Position of LL.
			M=0:LL1-1
			M=1:LL1-2
			M=2:LL2-1
			M=3:LL2-2
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35013376	SV	BerbTeachJELRCn-N	The teachng data for JEL BERBT of reactor.
+16 x M			Format of one item: 20
+ N			M means Position of RC.
			M=4:RC1
			M=5:RC2
			M=6:RC3
			M=7:RC4
			M=8:RC5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35013600	SV	BerbSpeedJELSpeedN	The speed data for JEL BERBT.
+N			Format of one item: 20
			N means the data of speed.
			N=0:Speed High
			N=1:Speed Low
			N=2:Acceleration
			N=3:Jerk
35013728	SV	EntryPMCnPreIdleRecipe	The entry file of PMCn Pre Idle Recipe.
+n			(n=1-5)
35013744	SV	EntryPMCnPostIdleRecipe	The entry file of PMCn Post Idle Recipe.
+n			(n=1-5)
35013632	SV	EntryPMCnHOPrepLoadRecipe	The entry file of Hand Off Prep Load Recipe.
+n			(n=1-5)
35013648	SV	EntryPMCxHOPostLoadRecipe	The entry file of PMCn Hand Off Post Load Recipe.
+n			(n=1-5)
35013664	SV	EntryPMCnHOPrepUnloadRecipe	The entry file of PMCn Hand Off Prep Unload Recipe.
+n			(n=1-5)
35013680	SV	EntryPMCnHOPostUnloadRecipe	The entry file of PMCn Hand Off Post Unload Recipe.
+n			(n=1-5)
35021328 +16*p	SV	RCnPSSourcepUseCountLimit_SV	Use Count Limit for Source p
+n			xx=0x21-2A
			p=0-9 
			n=1-5
			Range is 0~999999999 pulses.
35021584 +16*p	SV	RCnPSSourcepUseTimeLimit_SV	Use Time Limit for Source p
+n			xx=0x31-3A
			p=0-9
			n=1-5     
			Range is 0 ~999999999.999
35021840 +16*p	SV	RCnPSSourcepUseCountTotal_SV	Total Use Count for Source p
+n			xx=0x41-4A
			p=0-9
			n=1-5     
			Range is 0~999999999 pulses.
35022096 +16*p	SV	RCnPSSourcepUseTimeTotal_SV	Total Use Time for Source p
+n			xx=0x51-5A
			p=0-9
			n=1-5     
			Range is 0 ~999999999.999
35022352 +16*p	SV	RCnPSSourcepUseCountCurrent	Current Use Count for Source p
+n			xx=0x61-6A
			p=0-9
			n=1-5     
			Range is 0~999999999 pulses.
35022608 +16*p	SV	RCnPSSourcepUseTimeCurrent	Current Use Time for Source p
+n			xx=71-7A
			p=0-9
			n=1-5   
			Range is 0 ~999999999.999
35022848	SV	RCnAnalogPIDpMethod_SV	Analog PID p Method for RC n
+16 x p			"x=1-4, p=1-4 (There are up to four PID control loops"
+n			n=1-5
			Values are:
			"0=P Control,"
			"1=I Control,"
			"2=D control,"
			3=Special
35023104	SV	RCnAnalogPIDpPValue_SV	Analog PID p P-Value for RC n
+16 x p			x=0x1-4 p=1-4
+n			n=1-5
			Range is 0~999.999
35023360	SV	RCnAnalogPIDpIValue_SV	Analog PID p I-Value for RC n
+16 x p			x=0x1-4 p=1-4
+n			n=1-5
			Range is 0~999.999
35023632	SV	RCnAnalogPIDpDValue_SV	Analog PID p D-Value for RC n
+16 x p			x=0x1-4 p=0-3
+n			n=1-5
			Range is 0~9.999
35023887 +n	SV	RCnBallastCheckEnabled_SV	Ballast Check Enabled
			n= 1-5
			0xFF=Enable
			0x00=Disable
35023903    +n	SV	RCnBallastCheckLowerLimit_SV	Ballast Check Lower Limit
			n= 1-5
			Range is 0~20.00
			
35023919 +n	SV	RCnBallastCheckUpperLimit_SV	Ballast Check Upper Limit
			n= 1-5
			Range is 0~20.00
			
35023935 +n	SV	RCnTHVMonitorEnabled_SV	Throttle Valve Monitoring Enable
			n= 1-5
			0xFF=Enable
			0x00=Disable
35023951 +n	SV	RCnTHVMonitorErrorBand_SV	Throttle Valve Error Band (Torr)
			n= 1-5
			Range is 0~99.99
35023968	SV	RCnTHVMonitorSettleTime_SV	Throttle Valve Settle Time (second)
			n = 1-5
			Range is 0~65535
35023984	SV	RCnTHVMonitorOutOfBandTime_SV	Throttle Valve Out of Band Time (second)
			n = 1-5
			Range is 0~65535
35023999 +n	SV	RCnEmerALDReactorFanAutoLowerTemperatureLimit 	"The lower band limit temperature for the EmerALD Medallion reactor fan in Auto mode. When in Auto Mode, the fan will turn OFF when the GCP (TE331) reads less than this temperature. It will remain off until the temperature reaches the auto upper limit (RCXEmerALDReactorFanAutoUpperTemperatureLimit). (n=1-5)"
35024016	SV	RCXEmerALDReactorFanAutoUpperTemperatureLimit	"The upper band limit temperature for the EmerALD Medallion reactor fan in Auto mode. When in Auto Mode, the fan will turn ON when the GCP (TE331) reads more than this temperature. It will remain on until the temperature drops below the auto lower limit (RCXEmerALDReactorFanAutoLowerTemperatureLimit)."
35016192 + 16?p + n	SV	RCnMFCSetpointOffsetAIp	All ten Setpt Offset group data points for RCn Analog Input p.
			"xxx=4E0h-53Fh, p=0-95 (AI number)"
			n = 1-5  (reactor)
			Range is -50% to 50%
			
35024944 +n	SV	RCnSusUpPositionMM_SV	RCn susceptor Up position in millimeters.
			n = 1-5
35024960 +n	SV	RCnSusContactPositionMM_SV	RCn susceptor Contact position in millimeters.
			n = 1-5
35024976 +n	SV	RCnSusDownPositionMM_SV	RCn susceptor Down position in millimeters.
			n = 1-5
35025008 +n	SV	RCnSusRotationSpeedRPM_SV	RCn susceptor Rotational Speed of reactor n.
			Range=0.0-1125.0 (rpm)
			n = 1-4 (RC1-4)
35025568	SV	RCnTOpDelta	The TOpDelta delta of reactor n.
+16 x p			"xx=2Ah-69h, p=0-63"
+n			(for TO0~63. xx=2Ah;TO0)  (n=1-5)
35026592	SV	RCnDepoCountpIntValue	Expose Deposition Count of reactor n as integer value.
+16 x p			"Xx=6Ah-7Dh, p=0-19, n=1-5"
+n			
35026912	SV	RCnEtchCountpIntValue	Expose Etch Count of reactor n as integer value.
+16 x p			"Xx=7Eh-91h, p=0-19, n=1-5"
+n			
34155520	SV	WHCLLAIp	The actual Alp data in current WHC/LL. Al is an analog input value.
+16 x p			"xx=C0h-CFh, p=0-15"
			?for AI0-15. xx=C0h:AI0?
34155584	SV	WHCLLAI4	"Fan Filter Unit (Left Unit, Fan #1) [Note this is included in the WHCLLAIp VID range]"
			
34155600	SV	WHCLLAI5	"Fan Filter Unit (Left Unit, Fan #2) [Note this is included in the WHCLLAIp VID range]"
			
34155616	SV	WHCLLAI6	"Fan Filter Unit (Right Unit, Fan #1) [Note this is included in the WHCLLAIp VID range]"
			
34155632	SV	WHCLLAI7	"Fan Filter Unit (Right Unit, Fan #2) [Note this is included in the WHCLLAIp VID range]"
			
34156288	SV	WHCLLAOp	The actual AOp data in current WHC/LL. AO is an analog output value.
+16 x p			"xx=F0h-FFh ,p=0-15"
			?for AO0-15xx=D0h;AO0?
34156544	SV	WHCLLDIp	The current state of actual Dlp in WHC/LL. DI is a digital input value.
+16 x p			"xx=00h-BFh, p=0-191"
			?for DI0-191; xx=00h; DI0?
34159616	SV	WHCLLDOp	The current state of actual DOp in WHC/LL. DO is a digital output value.
+16 x p			"xxx=3C0h-47Fh, p=0-191"
			?for DO0-191; xxx=3C0h;DO0?
34155776	SV	WHCLLSAIp	The actual SAlp data in current WHC/LL. SAl is an analog Sensor input value.
+16 x p			"xx=D0h- EFh ,p=0-31"
			?for SAI0-31; xx=D0h;SAI0?
35021008 +n	SV	LLnLeakCheckLeakRateLimit	"Loadlock n leak rate limit, where n= 1-2. Measure unit is in mTorr/min."
			
35021012 +n	SV	LLnLeakCheckWaitTime	"Loadlock n wait time, where n= 1-2."
			Measure unit is in second.
35021016 +n	SV	LLnLeakCheckLeakTime	"Loadlock n leak time, where n=1-2."
			Measure unit is in second.
35021020 +n	SV	LLnLeakCheckAbortLimit	"Loadlock n abort limit, where n=1-2."
			Measure unit is in Torr.
35021024 +n	SV	LLnLeakCheckInterval	Loadlock n leak check interval n=1-2.
			Measure unit is in minute.
35021028 +n	SV	LLnLeakCheckRetry	Loadlock n leak check retry n=1-2.
			Measure unit is in minute.
35021033	SV	WHCLeakCheckLeakRateLimit	WHC leak rate limit.
			Measure unit is in mTorr/min.
35021034	SV	WHCLeakCheckWaitTime	WHC wait time.
			Measure unit is in second.
35021035	SV	WHCLeakCheckLeakTime	WHC leak time.
			Measure unit is in second.
35021036	SV	WHCLeakCheckAbortLimit	WHC abort limit.
			Measure unit is in Torr.
35021037	SV	WHCLeakCheckInterval	WHC leak check interval.
			Measure unit is in minute.
35021038	SV	WHCLeakCheckRetry	WHC leak check retry.
			Measure unit is in minute.
35027248	SV	PressureDisplayUnits	"Type of units to use for displaying pressure values in capabilities. 0=Torr, 1=kPa."
35027264	SV	ATMLimit	Approximate atmospheric pressure at equipment location in Torr.
3502728n	SV	RCnPulsarPulsarPostHandoffN2FlowEnabled	"For RCn, indicates whether or not Post Handoff N2 Flow is enabled:"
(35027281 – 35027285)			1: Post Handoff N2 Flow is enabled
			0: Post Handoff N2 Flow is not enabled.
			This is a Pulsar specific configuration setting.
35027296+n	SV	RCnPulsarPffMinTemp	Minimum temperature (in degrees Centigrade) needed before PFF capability can operate for reactor n.
(35027297 – 3502731)			This is a Pulsar specific configuration setting.
			n=1-5
35027312+n	SV	RCnPulsarHigLeakCheckTime	HIG Leak Check time in seconds for reactor n.
(35027313 – 3502737)			This is a Pulsar specific configuration setting.
			n=1-5
35027328+n	SV	RCnPulsarHigLeakCheckBasePressure	HIG Leak Check Base Pressure in Torr for reactor n.
35027329 – 35027333			This is a Pulsar specific configuration setting.
			n=1-5
35027344+n	SV	RCnPulsarHigLeakCheckRateLimit	HIG Leak Check Base Rate Limit in mTorr/minute for reactor n.
35027345 – 35027349			This is a Pulsar specific configuration setting.
			n=1-5
3502736n	SV	RCnPulsarHigPumpdownTarget	HIG Pumpdown target in Torr for reactor n.
(35027361 – 35027365)			This is a Pulsar specific configuration setting.
			n=1-5
35027376+n	SV	RCnPulsarHigBackfillTimeout	HIG Backfill Timeout in seconds for reactor n.
(35027377 – 35027381)			This is a Pulsar specific configuration setting.
			n=1-5
35027392+n	SV	RCnPulsarHasHigs	For reactor n.
(35027393 – 35027397)			0 == no HIGs installed
			1 == HIGs are installed
			This is a Pulsar specific configuration setting.
			n=1-5
35027408+n	SV	RCnPulsarHasTMA	For reactor n.
(35027409 – 35027413)			0 == no TMA installed
			1 == TMA installed
			This is a Pulsar specific configuration setting.
			n=1-5
35027424+n	SV	RCnPulsarSX_StandbyFlow	"Stand by flows for S5, S6, S7 and S8 for reactor n."
35027425 – 35027429			This is a Pulsar specific configuration setting.
			n=1-5
3502744n	SV	RCnStandbyFlow	"Inert gas standby flow for reactor n. On Pulsars, this is typically N2. On EmerALDs, this is typically Ar."
(35027441 – 35027445)			n=1-5
35028992	SV	DefaultMaxDummyUses	The default number of times each dummy can be processed.  The value is used if nothing is provided with the Carrier introduction.
			Range is 0-255.
35028993	SV	DummyWafersRemaingLimit	The number of dummy wafers remaining before a Warning to notify the Host the low number of dummy wafers.
			Range is 0-255. A zero value disables the warning.
35028994	SV	DummyWafersRemaining	"The number of dummy wafer uses remaining, for the dummy type with the least uses remaining."
			Range is 0-65535.
35029008	SV	LoadPortnType	The type of Carrier that Loadport n is reserved to process.
+ n			0=Unknown
			1=Product
			2=Non-Product Wafers (NPW)
			3=Mix
			4=Dummy
			(n=1-4)
35029024	SV	RCnCurrentIdleTime	The length of time each reactor has been idle.  Used to determine if Dummy Wafer processing is required.
+ n			Range is 0~65535 sec
			(n=1-4)
35029040 + 16×(i-1)+n	SV	RCn_LSi_PulsarSourceType	Type of material in Source i of RCn. This is a Pulsar specific configuration setting.
			"(i=1-6, X= 3h-8h, n=1-4)"
35029136 + 16×(i-1)+n	SV	RCn_LSi_PulsarPnValveEnable	Flag indicating that the Pneumatic valve for source i of RCn is enabled.
			0: disabled
			1: enabled
			This is a Pulsar specific configuration setting.
			"n=1-5, i=1-6, X=9h-Eh (for i=1-6)"
35029232 +n	SV	RCnRcPumpdownTarget	Pumpdown target for RC n in Torr.
			(n=1-4)
35029248 + 16×(i-1)+n	SV	RCn_LSi_LPVEnabled	Flag indicating that the Low Profile Vessel (LPV) is present on source i of RCn is enabled.
			0: disabled
			1: enabled
			This is a Pulsar specific configuration setting
			"n=1-5, i=1-6, X=0h-5h (for i=1-6)"
35029344 + n	SV	RCnPumpTimeout	Pumpdown timeout for RCn in seconds.
			(n=1-4)
3502936n	SV	RCnBackfillTimeout	Backfill timeout for RCn in seconds
			(n=1-4)
35029376+n	SV	RCnBackfillFlow	Backfill for for RCn in sccm.
			This is an EmerALD specific configuration setting.
			(n=1-4)
35029392+n	SV	RCnSuscMoveTimeout	Susceptor movement timeout for RCn in seconds.
			(n=1-4)
35029408+n	SV	RCnPumpCrossoverPressure	"For RCn, the threshold (specified in Torr) for switching the pump valves from slow pump (above this threshold) to fast pump (below this threshold)."
			(n=1-4)
35029424 + n	SV	RCn_LSi_ChemName	Name of chemical used in source i on RCn.
			"n=1-5, i=1-6, XX=1Bh-20h (for i=1-6)"
35029520 + n	SV	RCn_VertSusSpeedFast	The RCn Vertical motor susceptor speed for the fast movement segments.
			n=1-4 (reactor)
35029536 + n	SV	RCn_VertSusSpeedSlow	The RCn Vertical motor susceptor speed for the slow movement segments.
			n=1-4 (reactor)
35029552 + n	SV	RCn_VertSusAccelFast	The RCn Vertical motor susceptor acceleration for the fast movement segments.
			n=1-4 (reactor)
35029568 + n	SV	RCn_VertSusAccelSlow	The RCn Vertical motor susceptor acceleration for the slow movement segments.
			n=1-4 (reactor)
35029584 + n	SV	RCn_VacuumLimit	"The RCn pressure, below which is considered to be at vacuum state."
			n=1-4 (reactor)
35029600 + n	SV	LLn_VacuumLimit	"The LLn pressure, below which is considered to be at vacuum state."
			"n=1-2 (LL1, LL2)"
35029617	SV	WHC_VacuumLimit	"The WHC pressure, below which is considered to be at vacuum state."
35029632 + n	SV	LLnPumpCrossoverPressure	The LLn pressure where the valve cross over between slow and fast pump.
			"n=1-2 (LL1, LL2)"
35029649	SV	WHCPumpCrossoverPressure	The WHC pressure where the valve cross over between slow and fast pump.
35029664 + n	SV	LLnPumpTimeout	The LLn time allowed to pump to pressure before a timeout occurs.
			"n=1-2 (LL1, LL2)"
35029681	SV	WHCPumpTimeout	The WHC time allowed to pump to pressure before a timeout occurs.
35029697	SV	PMParamEditMode	"Setting to allow or prevent editing PM Paraneters (from the MMI screen) when an RC is not in maintenance mode. 0=Allow PM parameter editing in all PM modes, 1 =Allow PM Parameter editing only when in Maintenance Mode."
35029760	SV	BerbTeachBRORCx-N	The teaching data for BRO BERBT of reactor.
+16 x M			Format of one item: 20
+ N			M means Position of RC.
			M=0:RC1
			M=1:RC2
			M=2:RC3
			M=3:RC4
			M=4:RC5
			N means Position of Arm.
			N=0:Arm1
			N=1:Arm2
35029760	SV	BerbTeachBRO_LLx-x-N	The teaching data for BRO BERBT of load lock.
+16 x M			Format of one item: 20
+ N			M means Position of LL.
			M=5:LL1-1
			M=6:LL1-2
			M=7:LL2-1
			M=8:LL2-2
			N means Position of Arm
			N=0:Arm1
			N=1:Arm2
35030272	SV	BerbTeachJELxPosLLR-N	The x position teaching data for JEL BERBT of load lock.
+(16 x M)			M=0-3
+ N			M means Position of LL.
			M=0:LL1-1
			M=1:LL1-2
			M=2:LL2-1
			M=3:LL2-2
			R is one of the following strings
			“1-1” (when M=0)
			“1-2” (when M=1)
			“2-1” (when M=2)
			“2-2” (when M=3)
			N=0-5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35030272	SV	BerbTeachJELxPosRCn-N	The x position teaching data for JEL BERBT of reactor.
+(16 x M)			M=4-8
+ N			M means Position of RC.
			M=4:RC1
			M=5:RC2
			M=6:RC3
			M=7:RC4
			M=8:RC5
			n=1-5 (for RC1 – RC5)
			N=0-5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35030528	SV	BerbTeachJELyPosLLR-N	The y position teaching data for JEL BERBT of load lock R-N.
+(16 x M)			M=0-3
+ N			M means Position of LL.
			M=0: LL1-1
			M=1: LL1-2
			M=2: LL2-1
			M=3: LL2-2
			R is one of the following strings
			“1-1” (when M=0)
			“1-2” (when M=1)
			“2-1” (when M=2)
			“2-2” (when M=3)
			N=0-5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35030528	SV	BerbTeachJELyPosRCn-N	The y position teaching data for JEL BERBT of reactor n N.
+(16 x M)			M=4-8
+ N			M means Position of RC.
			M=4: RC1
			M=5: RC2
			M=6: RC3
			M=7: RC4
			M=8: RC5
			n = 1-5 (for RC1 – RC5)
			N=0-5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35030784	SV	BerbTeachJELuPosLLR-N	The u position teaching data for JEL BERBT of load lock.
+(16 x M)			M=0-3
+ N			M means Position of LL.
			M=0: LL1-1
			M=1: LL1-2
			M=2: LL2-1
			M=3: LL2-2
			R is one of the following strings
			“1-1” (when M=0)
			“1-2” (when M=1)
			“2-1” (when M=2)
			“2-2” (when M=3)
			N=0-5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35030784	SV	BerbTeachJELuPosRCn-N	The u position teaching data for JEL BERBT of reactor.
+(16 x M)			M=4-8
+ N			M means Position of RC.
			M=4:RC1
			M=5:RC2
			M=6:RC3
			M=7:RC4
			M=8:RC5
			n = 1-5 (for RC1 – RC5)
			N=0-5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35031040 +(16 x M)	SV	BerbTeachJELzPosLLR-N	The z position teaching data for JEL BERBT of load lock.
+ N			M=0-3
			M means Position of LL.
			M=0:LL1-1
			M=1:LL1-2
			M=2:LL2-1
			M=3:LL2-2
			R is one of the following strings
			“1-1” (when M=0)
			“1-2” (when M=1)
			“2-1” (when M=2)
			“2-2” (when M=3)
			N=0-5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35031040 +(16 x M)	SV	BerbTeachJELzPosRCn-N	The z position teaching data for JEL BERBT of reactor.
+ N			M=4-8
			M means Position of RC.
			M=4:RC1
			M=5:RC2
			M=6:RC3
			M=7:RC4
			M=8:RC5
			n = 1-5 (for RC1 – RC5)
			N=0-5
			N means Position of XEx or YEx.
			N=0:XExDown
			N=1:XExBase
			N=2:XExUp
			N=3:YExDown
			N=4:YExBase
			N=5:YExUp
35029904 +n	SV	FerbTeachKHIDyPosLPn	The y position teaching data for KHID FERBT of load port n.
			(n=1-4)
35029908	SV	FerbTeachKHIDyPosLLn	The y position teaching data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35029910	SV	FerbTeachKHIDyPosCSTGn	The y position teaching data for KHID FERBT of cooling stage n.
+n			n=1-2
			"N=7-8 (for LL1, LL2)"
35029913	SV	FerbTeachKHIDyPosMetrology	The y position teaching data for KHID FERBT of metrology.
			
35029914	SV	FerbTeachKHIDyPosAligner	The y position teaching data for KHID FERBT of aligner.
			
35029920 +n	SV	FerbTeachKHIDuPosLPn	The u position teaching data for KHID FERBT of load port n.
			(n=1-4)
35029924	SV	FerbTeachKHIDuPosLLn	The u position teaching data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35029926	SV	FerbTeachKHIDuPosCSTGn	The u position teaching data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35029929	SV	FerbTeachKHIDuPosMetrology	The u position teaching data for KHID FERBT of metrology.
			
35029930	SV	FerbTeachKHIDuPosAligner	The u position teaching data for KHID FERBT of aligner.
			
35029936 +n	SV	FerbTeachKHIDzPosLPn	The z position teaching data for KHID FERBT of load port n.
			(n=1-4)
35029940	SV	FerbTeachKHIDzPosLLn	The z position teaching data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35029942	SV	FerbTeachKHIDzPosCSTGn	The z position teaching data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35029945	SV	FerbTeachKHIDzPosMetrology	The z position teaching data for KHID FERBT of metrology.
			
35029946	SV	FerbTeachKHIDzPosAligner	The z position teaching data for KHID FERBT of aligner.
			
35029952 +n	SV	FerbTeachKHIDxuPosLPn	The xu position teaching data for KHID FERBT of load port n.
			(n=1-4)
35029956	SV	FerbTeachKHIDxuPosLLn	The xu position teaching data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35029958	SV	FerbTeachKHIDxuPosCSTGn	The xu position teaching data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
